"departmentno","department","employeeno","lastname","firstname","title","startdate","enddate"
"d001","Marketing","110022","Markovitch","Margareta","Manager","1985-01-01","1991-10-01"
"d001","Marketing","110022","Markovitch","Margareta","Senior Staff","1985-01-01","1991-10-01"
"d001","Marketing","110039","Minakawa","Vishwani","Manager","1991-10-01","9999-01-01"
"d001","Marketing","110039","Minakawa","Vishwani","Senior Staff","1991-10-01","9999-01-01"
"d002","Finance","110085","Alpin","Ebru","Manager","1985-01-01","1989-12-17"
"d002","Finance","110085","Alpin","Ebru","Senior Staff","1985-01-01","1989-12-17"
"d002","Finance","110114","Legleitner","Isamu","Manager","1989-12-17","9999-01-01"
"d002","Finance","110114","Legleitner","Isamu","Senior Staff","1989-12-17","9999-01-01"
"d003","Human Resources","110183","Ossenbruggen","Shirish","Manager","1985-01-01","1992-03-21"
"d003","Human Resources","110228","Sigstam","Karsten","Manager","1992-03-21","9999-01-01"
"d003","Human Resources","110228","Sigstam","Karsten","Senior Staff","1992-03-21","9999-01-01"
"d004","Production","110303","Wegerle","Krassimir","Manager","1985-01-01","1988-09-09"
"d004","Production","110303","Wegerle","Krassimir","Technique Leader","1985-01-01","1988-09-09"
"d004","Production","110344","Cools","Rosine","Manager","1988-09-09","1992-08-02"
"d004","Production","110344","Cools","Rosine","Senior Engineer","1988-09-09","1992-08-02"
"d004","Production","110344","Cools","Rosine","Technique Leader","1988-09-09","1992-08-02"
"d004","Production","110386","Kieras","Shem","Manager","1992-08-02","1996-08-30"
"d004","Production","110386","Kieras","Shem","Technique Leader","1992-08-02","1996-08-30"
"d004","Production","110386","Kieras","Shem","Technique Leader","1992-08-02","1996-08-30"
"d004","Production","110420","Ghazalie","Oscar","Manager","1996-08-30","9999-01-01"
"d004","Production","110420","Ghazalie","Oscar","Senior Engineer","1996-08-30","9999-01-01"
"d005","Development","110511","Hagimont","DeForest","Manager","1985-01-01","1992-04-25"
"d005","Development","110511","Hagimont","DeForest","Technique Leader","1985-01-01","1992-04-25"
"d005","Development","110567","DasSarma","Leon","Manager","1992-04-25","9999-01-01"
"d005","Development","110567","DasSarma","Leon","Technique Leader","1992-04-25","9999-01-01"
"d006","Quality Management","110725","Onuegbe","Peternela","Manager","1985-01-01","1989-05-06"
"d006","Quality Management","110725","Onuegbe","Peternela","Technique Leader","1985-01-01","1989-05-06"
"d006","Quality Management","110765","Hofmeyr","Rutger","Manager","1989-05-06","1991-09-12"
"d006","Quality Management","110765","Hofmeyr","Rutger","Technique Leader","1989-05-06","1991-09-12"
"d006","Quality Management","110765","Hofmeyr","Rutger","Technique Leader","1989-05-06","1991-09-12"
"d006","Quality Management","110800","Quadeer","Sanjoy","Manager","1991-09-12","1994-06-28"
"d006","Quality Management","110800","Quadeer","Sanjoy","Senior Engineer","1991-09-12","1994-06-28"
"d006","Quality Management","110800","Quadeer","Sanjoy","Technique Leader","1991-09-12","1994-06-28"
"d006","Quality Management","110854","Pesch","Dung","Manager","1994-06-28","9999-01-01"
"d006","Quality Management","110854","Pesch","Dung","Technique Leader","1994-06-28","9999-01-01"
"d007","Sales","111035","Kaelbling","Przemyslawa","Manager","1985-01-01","1991-03-07"
"d007","Sales","111133","Zhang","Hauke","Manager","1991-03-07","9999-01-01"
"d008","Research","111400","Staelin","Arie","Manager","1985-01-01","1991-04-08"
"d008","Research","111534","Kambil","Hilary","Manager","1991-04-08","9999-01-01"
"d008","Research","111534","Kambil","Hilary","Senior Staff","1991-04-08","9999-01-01"
"d009","Customer Service","111692","Butterworth","Tonny","Manager","1985-01-01","1988-10-17"
"d009","Customer Service","111784","Giarratana","Marjo","Manager","1988-10-17","1992-09-08"
"d009","Customer Service","111784","Giarratana","Marjo","Senior Staff","1988-10-17","1992-09-08"
"d009","Customer Service","111877","Spinelli","Xiaobin","Manager","1992-09-08","1996-01-03"
"d009","Customer Service","111877","Spinelli","Xiaobin","Senior Staff","1992-09-08","1996-01-03"
"d009","Customer Service","111939","Weedman","Yuchang","Manager","1996-01-03","9999-01-01"
"d009","Customer Service","111939","Weedman","Yuchang","Senior Staff","1996-01-03","9999-01-01"
